BORCS8-MEF2B	197	50-500
BORCS8-MEF2B	0	500-1000
BORCS8-MEF2B	1	1-5
BORCS8-MEF2B	4	5-10
BORCS8-MEF2B	0	10-15
BORCS8-MEF2B	0	15-21
BRAF	18341	missense
BRAF	6718	inframe_indel
BRAF	0	frameshift
BRAF	2692	0-50
BRAF	22367	50-500
BRAF	0	500-1000
BRAF	464	1-5
BRAF	72	5-10
BRAF	31	10-15
BRAF	60	15-21
BRCA2	226	missense
BRCA2	0	inframe_indel
BRCA2	0	frameshift
BRCA2	0	0-50
BRCA2	226	50-500
BRCA2	0	500-1000
BRCA2	3	1-5
BRCA2	1	5-10
BRCA2	0	10-15
BRCA2	1	15-21
BRD4	872	missense
BRD4	0	inframe_indel
BRD4	0	frameshift
BRD4	22	0-50
BRD4	850	50-500
BRD4	0	500-1000
BRD4	11	1-5
BRD4	4	5-10
BRD4	1	10-15
BRD4	0	15-21
CARD11	11822	missense
CARD11	0	inframe_indel
CARD11	0	frameshift
CARD11	804	0-50
CARD11	11018	50-500
CARD11	0	500-1000
CARD11	186	1-5
CARD11	24	5-10
CARD11	10	10-15
CARD11	21	15-21
CASP8	2087	missense
CASP8	0	inframe_indel
CASP8	0	frameshift
CASP8	279	0-50
CASP8	1808	50-500
CASP8	0	500-1000
CASP8	31	1-5
CASP8	7	5-10
CASP8	4	10-15
CASP8	1	15-21
CBFB	1264	missense
CBFB	0	inframe_indel
CBFB	0	frameshift
CBFB	53	0-50
CBFB	1211	50-500
CBFB	0	500-1000
CBFB	27	1-5
CBFB	0	5-10
CBFB	3	10-15
CBFB	0	15-21
CBL	464	missense
CBL	0	inframe_indel
CBL	0	frameshift
CBL	59	0-50
CBL	405	50-500
CBL	0	500-1000
CBL	10	1-5
CBL	5	5-10
CBL	0	10-15
CBL	1	15-21
CCND1	3850	missense
CCND1	0	inframe_indel
CCND1	0	frameshift
CCND1	501	0-50
CCND1	3349	50-500
CCND1	0	500-1000
CCND1	94	1-5
CCND1	6	5-10
CCND1	4	10-15
CCND1	13	15-21
CCND3	237	missense
CCND3	0	inframe_indel
CCND3	0	frameshift
CCND3	0	0-50
CCND3	237	50-500
CCND3	0	500-1000
CCND3	9	1-5
CCND3	0	5-10
CCND3	0	10-15
CCND3	3	15-21
CDH1	2932	missense
CDH1	0	inframe_indel
CDH1	0	frameshift
CDH1	376	0-50
CDH1	2556	50-500
CDH1	0	500-1000
CDH1	61	1-5
CDH1	8	5-10
CDH1	4	10-15
CDH1	8	15-21
CDK12	307	missense
CDK12	0	inframe_indel
CDK12	0	frameshift
CDK12	5	0-50
CDK12	302	50-500
CDK12	0	500-1000
CDK12	2	1-5
CDK12	0	5-10
CDK12	0	10-15
CDK12	0	15-21
CDK4	1264	missense
CDK4	0	inframe_indel
CDK4	0	frameshift
CDK4	257	0-50
CDK4	1007	50-500
CDK4	0	500-1000
CDK4	23	1-5
CDK4	4	5-10
CDK4	1	10-15
CDK4	1	15-21
CDKN1B	143	missense
CDKN1B	0	inframe_indel
CDKN1B	0	frameshift
CDKN1B	1	0-50
CDKN1B	142	50-500
CDKN1B	0	500-1000
CDKN1B	4	1-5
CDKN1B	1	5-10
CDKN1B	0	10-15
CDKN1B	0	15-21
CEBPA	0	missense
CEBPA	457	inframe_indel
CEBPA	0	frameshift
CEBPA	19	0-50
CEBPA	438	50-500
CEBPA	0	500-1000
CEBPA	13	1-5
CEBPA	2	5-10
CEBPA	0	10-15
CEBPA	0	15-21
CHEK2	337	missense
CHEK2	0	inframe_indel
CHEK2	0	frameshift
CHEK2	0	0-50
CHEK2	337	50-500
CHEK2	0	500-1000
CHEK2	11	1-5
CHEK2	0	5-10
CHEK2	0	10-15
CHEK2	0	15-21
CIC	14934	missense
CIC	0	inframe_indel
CIC	0	frameshift
CIC	1965	0-50
CIC	12969	50-500
CIC	0	500-1000
CIC	216	1-5
CIC	37	5-10
CIC	11	10-15
CIC	19	15-21
CREBBP	20285	missense
CREBBP	221	inframe_indel
CREBBP	0	frameshift
